,county,state,land_area_mi2,population,city,abbrev,name
0,Los Angeles,California,"4,057.88","10,105,518",Los Angeles,CA,"Los Angeles, CA"
1,Cook,Illinois,945.33,"5,180,493",Chicago,IL,"Cook, IL"
2,Harris,Texas,"1,703.48","4,698,619",Houston,TX,"Harris, TX"
3,Maricopa,Arizona,"9,200.14","4,410,824",Phoenix,AZ,"Maricopa, AZ"
4,San Diego,California,"4,206.63","3,343,364",San Diego,CA,"San Diego, CA"
5,Orange,California,790.57,"3,185,968",Santa Ana,CA,"Orange, CA"
6,Miami-Dade,Florida,"1,897.72","2,761,581",Miami,FL,"Miami-Dade, FL"
7,Dallas,Texas,871.28,"2,637,772",Dallas,TX,"Dallas, TX"
8,Kings,New York,70.82,"2,582,830","Brooklyn, NYC",NY,"Kings, NY"
9,Riverside,California,"7,206.48","2,450,758",Riverside,CA,"Riverside, CA"
10,Queens,New York,108.53,"2,278,906","Queens, NYC",NY,"Queens, NY"
11,King,Washington,"2,115.57","2,233,163",Seattle,WA,"King, WA"
12,Clark,Nevada,"7,891.43","2,231,647",Las Vegas,NV,"Clark, NV"
13,San Bernardino,California,"20,056.94","2,171,603",San Bernardino,CA,"San Bernardino, CA"
14,Tarrant,Texas,863.61,"2,084,931",Fort Worth,TX,"Tarrant, TX"
15,Bexar,Texas,"1,239.82","1,986,049",San Antonio,TX,"Bexar, TX"
16,Broward,Florida,"1,209.79","1,951,260",Fort Lauderdale,FL,"Broward, FL"
17,Santa Clara,California,"1,290.10","1,937,570",San Jose,CA,"Santa Clara, CA"
18,Wayne,Michigan,612.08,"1,753,893",Detroit,MI,"Wayne, MI"
19,Alameda,California,739.02,"1,666,753",Oakland,CA,"Alameda, CA"
20,New York,New York,22.83,"1,628,701","Manhattan, NYC",NY,"New York, NY"
21,Middlesex,Massachusetts,817.82,"1,614,714",Lowell and Cambridge,MA,"Middlesex, MA"
22,Philadelphia,Pennsylvania,134.1,"1,584,138",Philadelphia,PA,"Philadelphia, PA"
23,Sacramento,California,964.64,"1,540,975",Sacramento,CA,"Sacramento, CA"
24,Palm Beach,Florida,"1,969.76","1,485,941",West Palm Beach,FL,"Palm Beach, FL"
25,Suffolk,New York,912.05,"1,481,093",Riverhead,NY,"Suffolk, NY"
26,Hillsborough,Florida,"1,020.21","1,436,888",Tampa,FL,"Hillsborough, FL"
27,Bronx,New York,42.1,"1,432,132","Bronx, NYC",NY,"Bronx, NY"
28,Nassau,New York,284.72,"1,358,343",Mineola,NY,"Nassau, NY"
29,Orange,Florida,903.43,"1,348,975",Orlando,FL,"Orange, FL"
30,Franklin,Ohio,532.19,"1,310,300",Columbus,OH,"Franklin, OH"
31,Hennepin,Minnesota,553.59,"1,259,428",Minneapolis,MN,"Hennepin, MN"
32,Oakland,Michigan,867.66,"1,259,201",Pontiac,MI,"Oakland, MI"
33,Travis,Texas,990.2,"1,248,743",Austin,TX,"Travis, TX"
34,Cuyahoga,Ohio,457.19,"1,243,857",Cleveland,OH,"Cuyahoga, OH"
35,Allegheny,Pennsylvania,730.07,"1,218,452",Pittsburgh,PA,"Allegheny, PA"
36,Salt Lake,Utah,742.28,"1,152,633",Salt Lake City,UT,"Salt Lake, UT"
37,Fairfax,Virginia,390.97,"1,150,795",Fairfax,VA,"Fairfax, VA"
38,Contra Costa,California,715.94,"1,150,215",Martinez,CA,"Contra Costa, CA"
39,Mecklenburg,North Carolina,523.84,"1,093,901",Charlotte,NC,"Mecklenburg, NC"
40,Wake,North Carolina,835.22,"1,092,305",Raleigh,NC,"Wake, NC"
41,Montgomery,Maryland,491.25,"1,052,567",Rockville,MD,"Montgomery, MD"
42,Fulton,Georgia,526.63,"1,050,114",Atlanta,GA,"Fulton, GA"
43,Pima,Arizona,"9,187.04","1,039,073",Tucson,AZ,"Pima, AZ"
44,Collin,Texas,841.22,"1,005,146",McKinney,TX,"Collin, TX"
45,St. Louis,Missouri,507.8,"996,945",Clayton,MO,"St. Louis, MO"
46,Fresno,California,"5,957.99","994,400",Fresno,CA,"Fresno, CA"
47,Honolulu,Hawaii,600.74,"980,080",Honolulu,HI,"Honolulu, HI"
48,Pinellas,Florida,273.8,"975,280",Clearwater,FL,"Pinellas, FL"
49,Westchester,New York,430.5,"967,612",White Plains,NY,"Westchester, NY"
50,Marion,Indiana,396.3,"954,670",Indianapolis,IN,"Marion, IN"
51,Duval,Florida,762.19,"950,181",Jacksonville,FL,"Duval, FL"
52,Milwaukee,Wisconsin,241.4,"948,201",Milwaukee,WI,"Milwaukee, WI"
53,Fairfield,Connecticut,624.89,"943,823",Bridgeport,CT,"Fairfield, CT"
54,Bergen,New Jersey,233.01,"936,692",Hackensack,NJ,"Bergen, NJ"
55,Shelby,Tennessee,763.17,"935,764",Memphis,TN,"Shelby, TN"
56,DuPage,Illinois,327.5,"928,589",Wheaton,IL,"DuPage, IL"
57,Gwinnett,Georgia,430.38,"927,781",Lawrenceville,GA,"Gwinnett, GA"
58,Erie,New York,"1,042.69","919,719",Buffalo,NY,"Erie, NY"
59,Prince George's,Maryland,482.69,"909,308",Upper Marlboro,MD,"Prince George's, MD"
60,Kern,California,"8,131.92","896,764",Bakersfield,CA,"Kern, CA"
61,Hartford,Connecticut,735.1,"892,697",Hartford,CT,"Hartford, CT"
62,Pierce,Washington,"1,669.51","891,299",Tacoma,WA,"Pierce, WA"
63,San Francisco,California,46.87,"883,305",San Francisco,CA,"San Francisco, CA"
64,Macomb,Michigan,479.22,"874,759",Mount Clemens,MI,"Macomb, MI"
65,Hidalgo,Texas,"1,570.87","865,939",Edinburg,TX,"Hidalgo, TX"
66,Denton,Texas,878.43,"859,064",Denton,TX,"Denton, TX"
67,New Haven,Connecticut,604.51,"857,620",New Haven,CT,"New Haven, CT"
68,Ventura,California,"1,843.13","850,967",Ventura,CA,"Ventura, CA"
69,El Paso,Texas,"1,012.69","840,758",El Paso,TX,"El Paso, TX"
70,Worcester,Massachusetts,"1,510.77","830,839",Worcester,MA,"Worcester, MA"
71,Middlesex,New Jersey,308.91,"829,685",New Brunswick,NJ,"Middlesex, NJ"
72,Montgomery,Pennsylvania,483.04,"828,604",Norristown,PA,"Montgomery, PA"
73,Baltimore,Maryland,598.3,"828,431",Towson,MD,"Baltimore, MD"
74,Hamilton,Ohio,405.91,"816,684",Cincinnati,OH,"Hamilton, OH"
75,Snohomish,Washington,"2,087.27","814,901",Everett,WA,"Snohomish, WA"
76,Multnomah,Oregon,431.3,"811,880",Portland,OR,"Multnomah, OR"
77,Suffolk,Massachusetts,58.15,"807,252",Boston,MA,"Suffolk, MA"
78,Essex,New Jersey,126.21,"799,767",Newark,NJ,"Essex, NJ"
79,Oklahoma,Oklahoma,708.82,"792,582",Oklahoma City,OK,"Oklahoma, OK"
80,Essex,Massachusetts,492.56,"790,638",Salem and Lawrence,MA,"Essex, MA"
81,Fort Bend,Texas,885,"787,858",Richmond,TX,"Fort Bend, TX"
82,Jefferson,Kentucky,380.42,"770,517",Louisville,KY,"Jefferson, KY"
83,San Mateo,California,448.41,"769,545",Redwood City,CA,"San Mateo, CA"
84,Cobb,Georgia,339.55,"756,865",Marietta,GA,"Cobb, GA"
85,DeKalb,Georgia,267.58,"756,558",Decatur,GA,"DeKalb, GA"
86,Lee,Florida,784.51,"754,610",Fort Myers,FL,"Lee, FL"
87,San Joaquin,California,"1,391.32","752,660",Stockton,CA,"San Joaquin, CA"
88,Monroe,New York,657.21,"742,474",Rochester,NY,"Monroe, NY"
89,Denver,Colorado,154.97,"716,492",Denver,CO,"Denver, CO"
90,El Paso,Colorado,"2,126.80","713,856",Colorado Springs,CO,"El Paso, CO"
91,Polk,Florida,"2,011","708,009",Bartow,FL,"Polk, FL"
