state,confirmed,confirmed/1M,days_since_peak,deaths,deaths/1M,last_peak_pct,last_peak_value,new_cases/1M,pct_change_2day,pct_change_2day_prev
WA,7247,951.6876993544098,2,315,41.36630678855238,2,2,60.01397524561409,0.06505177039103738,0.08583296216849912
IL,10357,817.3253078622243,0,244,19.255322498636936,0,0,95.40854467562318,0.1601500475507427,0.13346668062522882
AZ,2187,300.46504074825276,0,52,7.144116195203083,1,0,30.499880679520857,0.12925581472355885,0.15394083674328274
CA,12837,324.88680781134485,2,289,7.314192370295136,2,2,31.154916290080667,0.09183034242151955,0.14550457527876015
MA,11736,1688.7538576499644,1,216,31.081359343250877,1,1,206.63348155976047,0.14420258754440018,0.16378975651998728
WI,2030,348.6514402739473,1,54,9.274471810242932,1,1,45.341862183409894,0.07998803517567366,0.11268815951411704
TX,6556,226.10107966714307,0,116,4.0005682186376745,0,0,22.934291943052187,0.13727250376612987,0.15364709662503961
OR,899,213.14747695268812,8,22,5.216067289164782,1,1,17.307859641319503,0.10533016633329817,0.10264026402640258
RI,806,760.8360134080827,5,17,16.04740971208115,0,0,50.97412496778718,0.10790320405371567,0.16030672536639057
FL,11545,537.5333537234393,2,195,9.079168815597285,2,0,58.66539850078246,0.13212131570188923,0.16344575123656446
NH,540,397.1432164629101,1,7,5.148152806000687,1,1,119.87841533973028,0.3215857139081949,-0.05547668658744159
NY,113833,5851.525075537584,0,3565,183.2569368662118,1,0,538.7702539396257,0.10930751091746183,0.10447775999998932
GA,6160,580.1784481978348,4,201,18.931147416844937,4,2,45.49126468823932,0.07336835257663277,0.16676813350731412
NC,2486,237.03090097295177,2,34,3.2417741886888014,2,2,26.124886108845047,0.1214959371735419,0.1357518595945355
NJ,34124,3841.8453106722554,1,846,95.24678035484492,1,1,484.6777652808598,0.15484578008179073,0.1701077700347059
NV,1742,565.5557705518811,6,46,14.934308522035897,0,0,16.557602926605018,0.09272716437424766,0.14598864687543422
TN,3322,486.1576772375473,3,50,7.317243787440507,0,0,32.48856241623585,0.0805873855309912,0.09833999329512039
CO,4188,727.2429227524929,4,111,19.275063138855472,2,0,69.45968698686656,0.11943820465506949,0.06305940837201218
IN,3953,587.1763827053161,0,116,17.230574347031787,0,0,59.26723417642831,0.14073366683247768,0.18650227936828312
KY,917,205.25226443385628,4,40,8.953206736482281,0,0,0.0,0.09545454545454546,0.11236192856566962
MD,3125,516.8980164348758,1,54,8.931997723994654,1,1,70.62894496566143,0.1581253116786112,0.18505077712663343
MN,865,153.37880202112478,0,24,4.255596819083231,0,0,8.156560569909526,0.07985517260251485,0.08615629203864494
NE,321,165.94224176078677,0,6,3.101724145061435,0,0,17.05948279783789,0.14234198793600839,0.19617940199335548
PA,10444,815.810730660681,0,136,10.623349231123383,0,0,101.70294631560768,0.19890561011682095,0.21013933797403161
CT,5276,1479.824765860364,1,165,46.27958422421533,1,1,305.7257382084528,0.17935445733562894,0.10610579657416985
HI,351,247.90376531211862,1,3,2.1188356009582785,1,1,44.49554762012385,0.17320361481191227,0.1204481792717087
OK,1161,293.40624432172996,0,42,10.614179381147853,0,0,27.546322679645616,0.1482251573625012,0.24564010275243686
SC,1917,372.32598275996685,2,40,7.768930261032172,0,0,28.35659545276743,0.11079907638731168,0.19788098283319722
UT,1435,447.6041170845033,2,8,2.4953539628404364,2,0,50.84283699287389,0.1463468470440582,0.11486486486486491
DC,902,1278.0747829610812,0,21,29.75562133279679,0,0,147.36117231480313,0.1754052528620066,0.14908642741407252
KS,698,239.58969064096763,1,21,7.20828582157639,2,1,26.087129639990746,0.12356506064622219,0.12885885315216872
MO,2310,376.37916078200834,0,33,5.376845154028691,0,0,1.1405429114606314,0.12151995349922917,0.16996118036897145
VA,2407,281.99808353774387,0,52,6.092189590345941,0,0,35.85019258934342,0.18784450390272667,0.16886037488115913
VT,461,738.7950749131795,0,20,32.0518470678169,0,0,81.7322100229331,0.1679887741287781,0.0742613207446865
IA,787,249.43979055932198,5,14,4.437302500419959,1,0,26.94076518112118,0.13216530828125805,0.11154495528932273
LA,12496,2688.0089760914334,2,409,87.97980723602724,0,0,244.79467147823715,0.16890335950112223,0.326201840363293
AK,171,233.75185395293522,7,5,6.834849530787579,1,1,19.137578686205224,0.09353703621219545,0.09628851540616246
AR,743,246.20380572100768,10,14,4.6391026649987985,3,1,20.21323304035191,0.0751327672133465,0.10883109824772785
DE,593,608.9771238205561,0,14,14.377200225105877,0,0,58.53574377364536,0.23140797285835446,0.11076989914133839
ID,1022,571.8611843345847,2,10,5.595510609927443,2,0,64.34837201416559,0.1476108449905701,0.2350269305979622
ME,456,339.2322044439419,2,10,7.439302729033813,2,2,41.66009528258935,0.10224586288416082,0.12046204620462042
MI,14225,1424.372052188191,1,540,54.071065601520075,1,1,195.5570205921643,0.14859785199740105,0.19084885222085823
MS,1455,488.8868131266277,1,35,11.760163889643966,1,1,60.816847543587365,0.11260468503459153,0.12103429377929809
MT,265,247.9467204601891,2,6,5.613888010419376,0,0,1.8712960034731254,0.049416867305295153,0.10457944832944843
ND,186,244.07462909841982,7,3,3.9366875661035454,3,3,18.371208641816544,0.08159741156796452,0.14182636804433157
NM,534,254.6702663879601,1,10,4.769106112134084,0,0,69.62894923715763,0.25873256519102483,0.2042395017078561
OH,3739,319.87064872402493,0,102,8.726078141174256,1,0,35.16096192179039,0.13530020257882092,0.14862039764300194
SD,212,239.64035860144983,2,2,2.2607581000136774,0,0,24.868339100150454,0.13351158645276295,0.23675710594315247
WV,282,157.3603636028827,0,2,1.1160309475381753,0,0,11.71832494915084,0.1435478199718706,0.15495119901751664
WY,187,323.1051266589375,0,0,0.0,0,0,20.73401882303342,0.11716049382716054,0.17325335215243465
AL,1614,329.1737921371517,1,44,8.97375889345395,1,1,53.43465522920306,0.1460442621661283,0.11858452333161285
PR,452,141.52890038932972,0,18,5.636106652672423,0,0,0.0,0.21518987341772156,0.15077391228018833
VI,40,381.26465486017116,4,0,0.0,1,1,66.72131460052996,0.15720720720720727,0.0
GU,93,561.1943180583884,13,4,24.137390024016703,0,0,12.068695012008352,0.06576655052264813,0.09043854696028608
AS,0,0.0,72,0,0.0,0,0,0.0,,
MP,8,144.94329093742073,3,1,18.11791136717759,0,0,36.23582273435518,0.16666666666666663,inf
US,308698,936.983024537908,0,8404,25.508443003247766,2,0,97.53246061677302,0.12642018886843287,0.13755396545945187
